n,c,s,trial
13000,42243500,19500,10
14000,48993000,21000,10
15000,56242500,22500,10
16000,63992000,24000,10
17000,72241500,25500,10
18000,80991000,27000,10
19000,90240500,28500,10
20000,99990000,29999,10
21000,110239500,31500,10
22000,120989000,33000,10
23000,132238500,34499,10
24000,143988000,35999,10
25000,156237500,37500,10
26000,168987000,39000,10
27000,182236500,40500,10
28000,195986000,41999,10
29000,210235500,43500,10
30000,224985000,45000,10
31000,240234500,46499,10
32000,255984000,48000,10
33000,272233500,49500,10
34000,288983000,51000,10
35000,306232500,52500,10
36000,323982000,54000,10
37000,342231500,55500,10
38000,360981000,57000,10
39000,380230500,58500,10
40000,399980000,60000,10
41000,420229500,61499,10
42000,440979000,63000,10
43000,462228500,64500,10
44000,483978000,66000,10
45000,506227500,67500,10
46000,528977000,69000,10
47000,552226500,70500,10
48000,575976000,72000,10
49000,600225500,73500,10
50000,624975000,75000,10
