n,c,s,trial
47000,894709956,459285062,7
48000,931613974,476858683,7
49000,963978322,493929902,7
50000,1009472966,517279282,7
1000,411261,209643,8
2000,1580850,807862,8
3000,3557841,1830386,8
4000,6484155,3325070,8
5000,9959480,5112159,8
6000,14277868,7296556,8
7000,19666113,10109696,8
8000,25645620,13151210,8
9000,32419856,16562416,8
10000,40152823,20548191,8
11000,49028470,25056899,8
12000,57808281,29612512,8
13000,67386621,34509633,8
14000,78708003,40200045,8
15000,90166214,46206723,8
16000,103971436,53222291,8
17000,116411281,59550868,8
18000,130553123,66949825,8
19000,144578241,73996124,8
20000,162385965,83133074,8
21000,176815694,90289168,8
22000,195982517,100300547,8
23000,213154280,108917764,8
24000,233810524,119711010,8
25000,253626642,129729283,8
26000,272655782,139445222,8
27000,293829630,150329419,8
28000,318094512,162984056,8
29000,338282369,173537381,8
30000,362229898,185440566,8
31000,392930872,201701625,8
32000,408496013,208944724,8
33000,440151829,225604567,8
34000,464525467,237942315,8
35000,495175722,253531230,8
36000,523741242,268395329,8
37000,554055037,283608188,8
38000,583967611,299051510,8
39000,613645819,314359477,8
40000,645875889,330990604,8
41000,679568865,348081798,8
42000,713129768,365258072,8
43000,747799021,382893124,8
44000,779946937,399718054,8
45000,820773687,420525156,8
46000,853946417,437435069,8
47000,888983337,455421660,8
48000,931240420,477169414,8
49000,974692161,499292433,8
50000,1010663537,517411618,8
1000,393277,202689,9
2000,1589814,814940,9
3000,3627765,1859842,9
4000,6544862,3355808,9
5000,10208408,5209456,9
6000,14817962,7564133,9
7000,19889740,10168774,9
8000,25439130,12952071,9
9000,32849562,16785072,9
10000,40362154,20696420,9
11000,48817062,25002663,9
12000,57872021,29624550,9
13000,67447393,34560017,9
14000,79417355,40628348,9
15000,91022049,46557574,9
16000,103947465,53165931,9
17000,117620864,60256169,9
18000,129752308,66398962,9
19000,144570190,74003701,9
20000,161511235,82796322,9
21000,178157018,91396083,9
22000,194877300,99997609,9
23000,213637032,109427317,9
24000,232494545,119031968,9
25000,252170801,129306639,9
26000,273131625,139945294,9
27000,294760645,151212082,9
28000,315860189,161826981,9
29000,340652225,174226688,9
30000,361253528,185034155,9
31000,385667549,197822077,9
32000,413295497,211492918,9
33000,438903243,224878441,9
34000,464748780,238102896,9
35000,492180885,252319335,9
36000,524678170,268684501,9
37000,552080621,282769260,9
38000,584659891,299473783,9
39000,614460116,315254993,9
40000,643507325,329620627,9
41000,679680572,348066746,9
42000,710632646,363862028,9
43000,743524025,380838824,9
44000,783895862,401186851,9
45000,818006287,418932040,9
46000,852350640,436932463,9
47000,894682752,457930131,9
48000,930525779,476891853,9
49000,970267446,497071947,9
50000,1011127181,518018416,9
1000,404801,208837,10
2000,1627791,834740,10
3000,3591348,1842599,10
