n,c,s,trial
39000,760480500,760480500,9
40000,799980000,799980000,9
41000,840479500,840479500,9
42000,881979000,881979000,9
43000,924478500,924478500,9
44000,967978000,967978000,9
45000,1012477500,1012477500,9
46000,1057977000,1057977000,9
47000,1104476500,1104476500,9
48000,1151976000,1151976000,9
49000,1200475500,1200475500,9
50000,1249975000,1249975000,9
1000,499500,499500,10
2000,1999000,1999000,10
3000,4498500,4498500,10
4000,7998000,7998000,10
5000,12497500,12497500,10
6000,17997000,17997000,10
7000,24496500,24496500,10
8000,31996000,31996000,10
9000,40495500,40495500,10
10000,49995000,49995000,10
11000,60494500,60494500,10
12000,71994000,71994000,10
13000,84493500,84493500,10
14000,97993000,97993000,10
15000,112492500,112492500,10
16000,127992000,127992000,10
17000,144491500,144491500,10
18000,161991000,161991000,10
19000,180490500,180490500,10
20000,199990000,199990000,10
21000,220489500,220489500,10
22000,241989000,241989000,10
23000,264488500,264488500,10
24000,287988000,287988000,10
25000,312487500,312487500,10
26000,337987000,337987000,10
27000,364486500,364486500,10
28000,391986000,391986000,10
29000,420485500,420485500,10
30000,449985000,449985000,10
31000,480484500,480484500,10
32000,511984000,511984000,10
33000,544483500,544483500,10
34000,577983000,577983000,10
35000,612482500,612482500,10
36000,647982000,647982000,10
37000,684481500,684481500,10
38000,721981000,721981000,10
39000,760480500,760480500,10
40000,799980000,799980000,10
41000,840479500,840479500,10
42000,881979000,881979000,10
43000,924478500,924478500,10
44000,967978000,967978000,10
45000,1012477500,1012477500,10
46000,1057977000,1057977000,10
47000,1104476500,1104476500,10
48000,1151976000,1151976000,10
49000,1200475500,1200475500,10
50000,1249975000,1249975000,10
