n,c,s,trial
9000,58950,58950,9
10000,65970,65970,9
11000,73231,73231,9
12000,81184,81184,9
13000,88427,88427,9
14000,96194,96194,9
15000,104147,104147,9
16000,112754,112754,9
17000,120091,120091,9
18000,126895,126895,9
19000,134235,134235,9
20000,142026,142026,9
21000,149715,149715,9
22000,157363,157363,9
23000,165555,165555,9
24000,174325,174325,9
25000,182448,182448,9
26000,189957,189957,9
27000,197897,197897,9
28000,206237,206237,9
29000,214941,214941,9
30000,223320,223320,9
31000,232195,232195,9
32000,241537,241537,9
33000,250742,250742,9
34000,257107,257107,9
35000,264457,264457,9
36000,271895,271895,9
37000,279983,279983,9
38000,287385,287385,9
39000,295552,295552,9
40000,304040,304040,9
41000,313214,313214,9
42000,320556,320556,9
43000,328863,328863,9
44000,336849,336849,9
45000,346033,346033,9
46000,354292,354292,9
47000,363211,363211,9
48000,372654,372654,9
49000,382488,382488,9
50000,389975,389975,9
1000,5052,5052,10
2000,11117,11117,10
3000,17277,17277,10
4000,24205,24205,10
5000,30445,30445,10
6000,37602,37602,10
7000,44547,44547,10
8000,52429,52429,10
9000,59009,59009,10
10000,66029,66029,10
11000,73150,73150,10
12000,81110,81110,10
13000,88453,88453,10
14000,96159,96159,10
15000,104157,104157,10
16000,112770,112770,10
17000,120134,120134,10
18000,126931,126931,10
19000,134193,134193,10
20000,142079,142079,10
21000,149798,149798,10
22000,157438,157438,10
23000,165638,165638,10
24000,174262,174262,10
25000,182540,182540,10
26000,189948,189948,10
27000,197865,197865,10
28000,206296,206296,10
29000,214994,214994,10
30000,223289,223289,10
31000,232342,232342,10
32000,241604,241604,10
33000,250683,250683,10
34000,257167,257167,10
35000,264420,264420,10
36000,271818,271818,10
37000,279935,279935,10
38000,287361,287361,10
39000,295776,295776,10
40000,304091,304091,10
41000,313149,313149,10
42000,320508,320508,10
43000,328816,328816,10
44000,336835,336835,10
45000,346057,346057,10
46000,354244,354244,10
47000,363400,363400,10
48000,372555,372555,10
49000,382598,382598,10
50000,390236,390236,10
