n,c,s,trial
20000,325010,175417,10
21000,348693,188809,10
22000,364882,197517,10
23000,377530,203831,10
24000,399590,217081,10
25000,419311,227065,10
26000,437569,237495,10
27000,452756,242532,10
28000,479053,261537,10
29000,499126,268719,10
30000,513177,277983,10
31000,530979,287796,10
32000,542966,291874,10
33000,572370,309232,10
34000,591443,319294,10
35000,617000,331465,10
36000,635180,342012,10
37000,650794,348837,10
38000,674704,362335,10
39000,687688,371591,10
40000,707940,380862,10
41000,729155,393486,10
42000,750897,404428,10
43000,767511,414562,10
44000,797690,429423,10
45000,804963,433131,10
46000,825971,445303,10
47000,848454,456459,10
48000,865196,462727,10
49000,890890,480008,10
50000,906862,487289,10
