n,c,s,trial
31000,76333,31838,8
32000,75420,32659,8
33000,87844,33811,8
34000,87597,34747,8
35000,134336,36724,8
36000,103121,36335,8
37000,99860,37338,8
38000,112895,37935,8
39000,135117,39347,8
40000,100820,40693,8
41000,149563,41715,8
42000,130684,42156,8
43000,126281,44221,8
44000,120363,44713,8
45000,148130,45150,8
46000,109752,46432,8
47000,121714,47048,8
48000,143197,47444,8
49000,159425,49946,8
50000,144974,50500,8
1000,2779,1015,9
2000,7109,2180,9
3000,10278,3428,9
4000,11928,4078,9
5000,17408,5446,9
6000,17527,6237,9
7000,19830,6890,9
8000,22741,8209,9
9000,29399,9379,9
10000,34747,10086,9
11000,39275,13200,9
12000,33803,12223,9
13000,34398,13202,9
14000,47279,14087,9
15000,33341,15006,9
16000,41902,16372,9
17000,55569,17120,9
18000,59015,20452,9
19000,51604,19063,9
20000,67586,20970,9
21000,57419,21715,9
22000,66374,22425,9
23000,79402,23123,9
24000,82281,24403,9
25000,76179,25798,9
26000,78703,26801,9
27000,68374,27078,9
28000,75926,28323,9
29000,97219,29716,9
30000,77470,30937,9
31000,90064,31698,9
32000,84398,32146,9
33000,93513,33116,9
34000,106787,34134,9
35000,102427,35385,9
36000,138236,37254,9
37000,111773,37115,9
38000,126665,38758,9
39000,106244,40791,9
40000,111880,40332,9
41000,134414,42302,9
42000,120101,42156,9
43000,115105,43873,9
44000,165251,45197,9
45000,132098,46046,9
46000,137404,46847,9
47000,142065,47187,9
48000,137843,48254,9
49000,140868,49225,9
50000,145548,51539,9
1000,3019,1055,10
2000,4490,2113,10
3000,8299,3154,10
4000,10046,4034,10
5000,15108,5113,10
6000,17849,6557,10
7000,19521,7226,10
8000,22313,8303,10
9000,24459,9247,10
10000,27067,10044,10
11000,31620,11248,10
12000,36490,12332,10
13000,32064,13121,10
14000,43006,14175,10
15000,45230,15160,10
16000,56226,16061,10
17000,59718,21260,10
18000,52036,18641,10
19000,58630,19227,10
20000,73296,21568,10
21000,62189,22458,10
22000,60100,22106,10
23000,72844,23155,10
24000,65671,24204,10
25000,83412,25994,10
26000,78013,27037,10
27000,82010,27214,10
28000,80753,28905,10
29000,89546,28661,10
30000,90814,30973,10
31000,69824,32079,10
32000,104963,32043,10
33000,92938,33271,10
34000,98150,34567,10
35000,98085,35449,10
36000,107340,36277,10
37000,123026,37243,10
38000,111459,38196,10
39000,94456,39304,10
40000,117205,40116,10
41000,130484,41106,10
42000,102282,42679,10
43000,134045,44147,10
44000,132249,44182,10
45000,113710,45484,10
46000,135181,46049,10
47000,128823,47515,10
48000,142979,50088,10
49000,130816,49094,10
50000,188879,50057,10
1000,3488,1141,11
2000,5095,2056,11
3000,9358,2996,11
4000,13375,4143,11
5000,12825,5019,11
6000,18193,6444,11
7000,15077,7060,11
8000,26802,8547,11
9000,26382,9020,11
10000,25393,10331,11
11000,36033,11846,11
12000,32832,12232,11
13000,45085,13102,11
14000,49684,14211,11
15000,44606,15604,11
16000,45962,16339,11
17000,48495,17657,11
18000,67209,19371,11
19000,56634,19307,11
20000,70044,21166,11
21000,58819,22151,11
22000,72086,22246,11
23000,61914,23199,11
24000,77868,24446,11
25000,69099,25749,11
26000,78206,26498,11
27000,65739,27438,11
28000,98106,28506,11
29000,90617,29445,11
30000,89726,30662,11
31000,94650,31104,11
32000,75167,32386,11
33000,90772,33173,11
34000,103680,34483,11
35000,118857,35561,11
36000,129762,36180,11
37000,120162,37102,11
38000,100390,38429,11
39000,140943,39568,11
40000,114463,40543,11
41000,139034,42659,11
42000,105068,42283,11
43000,105402,43313,11
44000,150487,44146,11
45000,143709,45349,11
46000,125894,46705,11
47000,140441,47856,11
48000,161914,48584,11
49000,127138,49828,11
50000,133314,50135,11
1000,2913,1004,12
2000,7160,2054,12
3000,9083,3028,12
4000,14461,4563,12
5000,15615,5140,12
6000,16549,6011,12
7000,19044,7212,12
8000,19574,8276,12
9000,30615,9704,12
10000,32204,10241,12
11000,33681,11430,12
12000,36673,12168,12
13000,32354,13159,12
14000,35272,14202,12
15000,45089,15420,12
16000,50212,16131,12
17000,65007,22322,12
18000,61457,18690,12
19000,53756,19243,12
20000,62729,20676,12
21000,70315,21683,12
22000,66452,22092,12
23000,81996,24002,12
24000,71943,24538,12
25000,60038,25462,12
26000,80142,26491,12
27000,84512,27643,12
28000,83897,28014,12
29000,67033,29904,12
30000,84971,30971,12
31000,85531,31378,12
32000,84848,32505,12
33000,111995,33931,12
34000,102962,36835,12
35000,122014,35390,12
36000,96461,36811,12
37000,107813,37882,12
38000,135613,38873,12
39000,102055,38993,12
40000,114631,40671,12
41000,134557,41578,12
42000,117272,42295,12
43000,149402,43699,12
44000,148719,44928,12
45000,116455,45473,12
46000,138362,47350,12
47000,121234,47662,12
48000,143194,49960,12
49000,138315,49287,12
50000,146009,51149,12
1000,2728,1219,13
2000,6308,2011,13
3000,7778,3200,13
4000,14368,4433,13
5000,16597,5028,13
6000,17667,6089,13
7000,20247,7199,13
8000,23584,8136,13
9000,22495,9161,13
10000,24126,10150,13
11000,37450,12851,13
12000,35156,12662,13
13000,38372,13232,13
14000,48026,14213,13
15000,44218,15502,13
16000,49147,16060,13
17000,51707,17303,13
18000,55677,19744,13
19000,65132,19327,13
20000,65973,20705,13
21000,60110,21028,13
22000,80938,22292,13
23000,77679,23442,13
24000,71352,24551,13
25000,62621,25425,13
26000,71402,26681,13
27000,90150,27870,13
28000,84333,28490,13
29000,87861,29236,13
30000,101498,31608,13
31000,80291,31716,13
32000,88064,32309,13
33000,101439,33656,13
34000,126608,34830,13
35000,124718,35365,13
36000,127541,36974,13
37000,136450,37640,13
38000,100252,38333,13
39000,110714,44606,13
40000,132804,41752,13
41000,120528,41972,13
42000,119322,42500,13
43000,119481,44328,13
44000,148654,44698,13
45000,117911,45424,13
46000,132572,46155,13
47000,158613,47918,13
48000,142920,48503,13
49000,131779,50119,13
50000,149599,50403,13
1000,3378,1062,14
2000,6548,2111,14
3000,7689,3086,14
4000,12530,4051,14
5000,13676,5256,14
6000,17502,6061,14
7000,23296,7612,14
8000,19865,8479,14
9000,27629,9679,14
10000,28026,10394,14
11000,41710,11548,14
12000,29397,11933,14
13000,47013,13398,14
14000,45503,14848,14
15000,40855,15309,14
16000,41896,16343,14
17000,46775,17281,14
18000,58085,18038,14
19000,56555,19821,14
20000,50591,20007,14
21000,80981,22550,14
22000,77444,23037,14
23000,65276,23546,14
24000,84292,24173,14
25000,71438,25439,14
26000,81271,26722,14
27000,81982,27848,14
28000,88346,28078,14
29000,93181,29582,14
30000,79160,30632,14
31000,72717,31978,14
32000,72139,32387,14
33000,95920,33022,14
34000,95809,34138,14
35000,95700,36105,14
36000,120206,36347,14
37000,113277,37078,14
38000,115673,38666,14
39000,100652,40444,14
40000,134086,40558,14
41000,115735,41357,14
42000,155772,43677,14
43000,157319,43406,14
44000,153923,44602,14
45000,129193,45450,14
46000,143269,46343,14
47000,152730,48342,14
48000,169900,49192,14
49000,133394,49456,14
50000,160003,50310,14
1000,3652,1105,15
2000,6135,2077,15
3000,6985,3232,15
4000,12495,4001,15
5000,14354,5144,15
6000,15430,6174,15
7000,19100,7589,15
8000,26433,8205,15
9000,26925,8824,15
10000,32252,10159,15
11000,38688,11176,15
12000,40008,12433,15
13000,35018,13317,15
14000,40533,14321,15
15000,51283,15483,15
16000,48734,16207,15
17000,53440,17011,15
18000,48730,18599,15
19000,64212,19325,15
20000,66880,20747,15
21000,57283,21640,15
22000,56617,22537,15
23000,77400,23340,15
24000,73520,24192,15
25000,81719,25764,15
26000,77240,26753,15
27000,86329,27860,15
28000,96040,28672,15
29000,105764,29456,15
30000,72519,30352,15
31000,88191,31411,15
32000,83369,32606,15
33000,74374,33514,15
34000,97893,34228,15
35000,133506,37928,15
36000,104299,36001,15
37000,103812,37058,15
38000,140056,39162,15
39000,138701,40827,15
40000,134192,40178,15
41000,128544,43879,15
42000,116833,42675,15
43000,146003,43215,15
44000,131672,44830,15
45000,121961,45461,15
46000,140694,46058,15
47000,159717,48145,15
48000,127427,48272,15
49000,128675,49332,15
50000,156097,50619,15
1000,2486,1013,16
2000,5920,1998,16
3000,9245,3127,16
4000,12828,4633,16
5000,15304,5045,16
6000,18074,6420,16
7000,19244,7019,16
