n,c,trial
62300,628,1
62400,347,1
62500,257,1
62600,269,1
62700,599,1
62800,816,1
62900,657,1
63000,293,1
63100,402,1
63200,765,1
63300,397,1
63400,500,1
63500,317,1
63600,390,1
63700,964,1
63800,874,1
63900,1075,1
64000,509,1
64100,328,1
64200,709,1
64300,428,1
64400,615,1
64500,304,1
64600,371,1
64700,268,1
64800,814,1
64900,801,1
65000,589,1
65100,377,1
65200,315,1
65300,1034,1
65400,338,1
65500,716,1
65600,367,1
65700,497,1
65800,593,1
65900,362,1
66000,400,1
66100,262,1
66200,380,1
66300,327,1
66400,647,1
66500,212,1
66600,502,1
66700,595,1
66800,209,1
66900,400,1
67000,826,1
67100,578,1
67200,395,1
67300,497,1
67400,401,1
67500,618,1
67600,324,1
67700,414,1
67800,447,1
67900,322,1
68000,147,1
68100,518,1
68200,425,1
68300,371,1
68400,734,1
68500,363,1
68600,654,1
68700,910,1
68800,1185,1
68900,803,1
69000,524,1
69100,657,1
69200,378,1
69300,403,1
69400,318,1
69500,362,1
69600,857,1
69700,402,1
69800,384,1
69900,454,1
70000,613,1
70100,272,1
70200,428,1
70300,320,1
70400,329,1
70500,13545,1
70600,442,1
70700,378,1
70800,424,1
70900,275,1
71000,334,1
71100,442,1
71200,407,1
71300,345,1
71400,380,1
71500,330,1
71600,600,1
71700,510,1
71800,632,1
71900,1452,1
72000,1125,1
72100,595,1
72200,317,1
72300,345,1
72400,322,1
72500,341,1
72600,469,1
72700,297,1
72800,315,1
72900,387,1
73000,288,1
73100,257,1
73200,251,1
73300,359,1
73400,337,1
73500,367,1
73600,454,1
73700,426,1
73800,563,1
73900,343,1
74000,471,1
74100,354,1
74200,376,1
74300,375,1
74400,683,1
74500,468,1
74600,432,1
74700,419,1
74800,282,1
74900,575,1
75000,520,1
75100,328,1
75200,528,1
75300,301,1
75400,320,1
75500,451,1
75600,399,1
75700,501,1
75800,367,1
75900,292,1
76000,479,1
76100,419,1
76200,564,1
76300,319,1
76400,380,1
76500,355,1
76600,4535,1
76700,340,1
76800,315,1
76900,349,1
77000,384,1
77100,328,1
77200,397,1
77300,608,1
77400,310,1
77500,338,1
77600,415,1
77700,295,1
77800,388,1
77900,411,1
78000,397,1
78100,268,1
78200,295,1
78300,327,1
78400,417,1
78500,386,1
78600,335,1
78700,467,1
78800,862,1
78900,348,1
79000,369,1
79100,432,1
79200,333,1
79300,338,1
79400,496,1
79500,393,1
79600,586,1
79700,410,1
79800,462,1
79900,314,1
80000,347,1
80100,282,1
80200,317,1
80300,231,1
80400,364,1
80500,300,1
80600,438,1
80700,318,1
80800,249,1
80900,378,1
81000,456,1
81100,553,1
81200,438,1
81300,320,1
81400,623,1
81500,345,1
81600,340,1
81700,410,1
81800,580,1
81900,618,1
82000,413,1
82100,419,1
82200,307,1
82300,331,1
82400,287,1
82500,425,1
82600,235,1
82700,513,1
82800,439,1
82900,691,1
83000,564,1
83100,503,1
83200,402,1
83300,620,1
83400,794,1
83500,531,1
83600,367,1
83700,338,1
83800,630,1
83900,331,1
84000,371,1
84100,699,1
84200,599,1
84300,399,1
84400,385,1
84500,489,1
84600,421,1
84700,458,1
84800,380,1
84900,541,1
85000,409,1
85100,527,1
85200,425,1
85300,367,1
85400,554,1
85500,459,1
85600,512,1
85700,283,1
85800,344,1
85900,244,1
86000,159,1
86100,521,1
86200,501,1
86300,349,1
86400,353,1
86500,346,1
86600,448,1
86700,413,1
86800,451,1
86900,431,1
87000,436,1
87100,1688,1
87200,578,1
87300,474,1
87400,391,1
87500,1240,1
87600,566,1
87700,954,1
87800,374,1
87900,623,1
88000,860,1
88100,509,1
88200,808,1
88300,542,1
88400,848,1
88500,610,1
88600,445,1
88700,677,1
88800,665,1
88900,537,1
89000,834,1
89100,510,1
89200,444,1
89300,695,1
89400,941,1
89500,633,1
89600,714,1
89700,569,1
89800,494,1
89900,385,1
90000,1233,1
90100,1039,1
90200,939,1
90300,640,1
90400,591,1
90500,458,1
90600,747,1
90700,427,1
90800,581,1
90900,911,1
91000,336,1
91100,1002,1
91200,967,1
91300,589,1
91400,984,1
91500,727,1
91600,689,1
91700,901,1
91800,392,1
91900,1056,1
92000,995,1
92100,2905,1
92200,457,1
92300,658,1
