n,c,s,trial
49000,941551,457935,8
50000,905729,435457,8
1000,10393,5666,9
2000,23334,10682,9
3000,41805,20280,9
4000,55367,25156,9
5000,72612,30884,9
6000,89106,42793,9
7000,101063,44113,9
8000,119731,59749,9
9000,134215,59525,9
10000,155818,66521,9
11000,165005,73076,9
12000,185773,82580,9
13000,211268,95188,9
14000,224557,101930,9
15000,240136,119138,9
16000,260441,121601,9
17000,283370,126097,9
18000,293653,140931,9
19000,339839,168832,9
20000,333537,145153,9
21000,362038,165725,9
22000,379737,172908,9
23000,419080,199946,9
24000,433770,188986,9
25000,415225,188766,9
26000,449201,211232,9
27000,447414,223984,9
28000,537161,230523,9
29000,509751,235041,9
30000,535354,224897,9
31000,586351,257054,9
32000,588132,286124,9
33000,591082,275978,9
34000,645312,280908,9
35000,649534,314553,9
36000,658680,294200,9
37000,710283,317573,9
38000,660855,311672,9
39000,776499,354435,9
40000,733087,315981,9
41000,760973,351805,9
42000,846353,449662,9
43000,847449,354707,9
44000,795922,366004,9
45000,850704,420906,9
46000,869789,391241,9
47000,879288,382416,9
48000,913287,452427,9
49000,904552,423511,9
50000,903501,446977,9
1000,11043,4847,10
2000,23247,10364,10
3000,41100,18084,10
4000,54169,24508,10
5000,68701,33230,10
6000,85871,40754,10
7000,103214,49149,10
8000,120868,58633,10
9000,129383,63614,10
10000,169562,89584,10
11000,175570,80807,10
12000,191121,84018,10
13000,201645,95904,10
14000,236709,120576,10
15000,247565,117398,10
16000,267956,120636,10
17000,273495,121774,10
18000,305167,136596,10
19000,301590,141099,10
20000,332334,139523,10
21000,386620,188382,10
22000,388476,184651,10
23000,390206,187263,10
24000,414710,203161,10
25000,432650,202425,10
26000,470587,212396,10
27000,460660,215718,10
28000,477260,212480,10
29000,541296,236939,10
30000,509940,224660,10
31000,560976,264582,10
32000,544025,260461,10
33000,576372,266362,10
34000,589382,260738,10
35000,623869,303040,10
36000,635209,321500,10
37000,700453,306232,10
38000,668973,337087,10
39000,723132,363743,10
40000,732591,355389,10
41000,715457,354298,10
42000,778809,359079,10
43000,782750,353985,10
44000,810421,359688,10
45000,808650,391254,10
46000,879194,385897,10
47000,857800,404520,10
48000,907497,436273,10
49000,893186,398847,10
50000,1049239,498028,10
